race63,hisp,header
1,0,"P0020005"
2,0,"P0020006"
3,0,"P0020007"
4,0,"P0020008"
5,0,"P0020009"
6,0,"P0020010"
7,0,"P0020013"
8,0,"P0020014"
9,0,"P0020015"
10,0,"P0020016"
11,0,"P0020017"
12,0,"P0020018"
13,0,"P0020019"
14,0,"P0020020"
15,0,"P0020021"
16,0,"P0020022"
17,0,"P0020023"
18,0,"P0020024"
19,0,"P0020025"
20,0,"P0020026"
21,0,"P0020027"
22,0,"P0020029"
23,0,"P0020030"
24,0,"P0020031"
25,0,"P0020032"
26,0,"P0020033"
27,0,"P0020034"
28,0,"P0020035"
29,0,"P0020036"
30,0,"P0020037"
31,0,"P0020038"
32,0,"P0020039"
33,0,"P0020040"
34,0,"P0020041"
35,0,"P0020042"
36,0,"P0020043"
37,0,"P0020044"
38,0,"P0020045"
39,0,"P0020046"
40,0,"P0020047"
41,0,"P0020048"
42,0,"P0020050"
43,0,"P0020051"
44,0,"P0020052"
45,0,"P0020053"
46,0,"P0020054"
47,0,"P0020055"
48,0,"P0020056"
49,0,"P0020057"
50,0,"P0020058"
51,0,"P0020059"
52,0,"P0020060"
53,0,"P0020061"
54,0,"P0020062"
55,0,"P0020063"
56,0,"P0020064"
57,0,"P0020066"
58,0,"P0020067"
59,0,"P0020068"
60,0,"P0020069"
61,0,"P0020070"
62,0,"P0020071"
63,0,"P0020073"
