age_p12,sex,race7,header
0,0,6,H9F003_dp
1,0,6,H9F004_dp
2,0,6,H9F005_dp
3,0,6,H9F006_dp
4,0,6,H9F007_dp
5,0,6,H9F008_dp
6,0,6,H9F009_dp
7,0,6,H9F010_dp
8,0,6,H9F011_dp
9,0,6,H9F012_dp
10,0,6,H9F013_dp
11,0,6,H9F014_dp
12,0,6,H9F015_dp
13,0,6,H9F016_dp
14,0,6,H9F017_dp
15,0,6,H9F018_dp
16,0,6,H9F019_dp
17,0,6,H9F020_dp
18,0,6,H9F021_dp
19,0,6,H9F022_dp
20,0,6,H9F023_dp
21,0,6,H9F024_dp
22,0,6,H9F025_dp
0,1,6,H9F027_dp
1,1,6,H9F028_dp
2,1,6,H9F029_dp
3,1,6,H9F030_dp
4,1,6,H9F031_dp
5,1,6,H9F032_dp
6,1,6,H9F033_dp
7,1,6,H9F034_dp
8,1,6,H9F035_dp
9,1,6,H9F036_dp
10,1,6,H9F037_dp
11,1,6,H9F038_dp
12,1,6,H9F039_dp
13,1,6,H9F040_dp
14,1,6,H9F041_dp
15,1,6,H9F042_dp
16,1,6,H9F043_dp
17,1,6,H9F044_dp
18,1,6,H9F045_dp
19,1,6,H9F046_dp
20,1,6,H9F047_dp
21,1,6,H9F048_dp
22,1,6,H9F049_dp
