age_p12,sex,hisp,header
0,0,1,H9H003_dp
1,0,1,H9H004_dp
2,0,1,H9H005_dp
3,0,1,H9H006_dp
4,0,1,H9H007_dp
5,0,1,H9H008_dp
6,0,1,H9H009_dp
7,0,1,H9H010_dp
8,0,1,H9H011_dp
9,0,1,H9H012_dp
10,0,1,H9H013_dp
11,0,1,H9H014_dp
12,0,1,H9H015_dp
13,0,1,H9H016_dp
14,0,1,H9H017_dp
15,0,1,H9H018_dp
16,0,1,H9H019_dp
17,0,1,H9H020_dp
18,0,1,H9H021_dp
19,0,1,H9H022_dp
20,0,1,H9H023_dp
21,0,1,H9H024_dp
22,0,1,H9H025_dp
0,1,1,H9H027_dp
1,1,1,H9H028_dp
2,1,1,H9H029_dp
3,1,1,H9H030_dp
4,1,1,H9H031_dp
5,1,1,H9H032_dp
6,1,1,H9H033_dp
7,1,1,H9H034_dp
8,1,1,H9H035_dp
9,1,1,H9H036_dp
10,1,1,H9H037_dp
11,1,1,H9H038_dp
12,1,1,H9H039_dp
13,1,1,H9H040_dp
14,1,1,H9H041_dp
15,1,1,H9H042_dp
16,1,1,H9H043_dp
17,1,1,H9H044_dp
18,1,1,H9H045_dp
19,1,1,H9H046_dp
20,1,1,H9H047_dp
21,1,1,H9H048_dp
22,1,1,H9H049_dp
