sex,age_p14,header
0,0,"H78003_dp"
0,1,"H78004_dp"
0,2,"H78005_dp"
0,3,"H78006_dp"
0,4,"H78007_dp"
0,5,"H78008_dp"
0,6,"H78009_dp"
0,7,"H78010_dp"
0,8,"H78011_dp"
0,9,"H78012_dp"
0,10,"H78013_dp"
0,11,"H78014_dp"
0,12,"H78015_dp"
0,13,"H78016_dp"
0,14,"H78017_dp"
0,15,"H78018_dp"
0,16,"H78019_dp"
0,17,"H78020_dp"
0,18,"H78021_dp"
0,19,"H78022_dp"
1,0,"H78024_dp"
1,1,"H78025_dp"
1,2,"H78026_dp"
1,3,"H78027_dp"
1,4,"H78028_dp"
1,5,"H78029_dp"
1,6,"H78030_dp"
1,7,"H78031_dp"
1,8,"H78032_dp"
1,9,"H78033_dp"
1,10,"H78034_dp"
1,11,"H78035_dp"
1,12,"H78036_dp"
1,13,"H78037_dp"
1,14,"H78038_dp"
1,15,"H78039_dp"
1,16,"H78040_dp"
1,17,"H78041_dp"
1,18,"H78042_dp"
1,19,"H78043_dp"

