recode,header
1,"P0010003"
2,"P0010004"
3,"P0010005"
4,"P0010006"
5,"P0010007"
6,"P0010008"
7,"P0010011"
8,"P0010012"
9,"P0010013"
10,"P0010014"
11,"P0010015"
12,"P0010016"
13,"P0010017"
14,"P0010018"
15,"P0010019"
16,"P0010020"
17,"P0010021"
18,"P0010022"
19,"P0010023"
20,"P0010024"
21,"P0010025"
22,"P0010027"
23,"P0010028"
24,"P0010029"
25,"P0010030"
26,"P0010031"
27,"P0010032"
28,"P0010033"
29,"P0010034"
30,"P0010035"
31,"P0010036"
32,"P0010037"
33,"P0010038"
34,"P0010039"
35,"P0010040"
36,"P0010041"
37,"P0010042"
38,"P0010043"
39,"P0010044"
40,"P0010045"
41,"P0010046"
42,"P0010048"
43,"P0010049"
44,"P0010050"
45,"P0010051"
46,"P0010052"
47,"P0010053"
48,"P0010054"
49,"P0010055"
50,"P0010056"
51,"P0010057"
52,"P0010058"
53,"P0010059"
54,"P0010060"
55,"P0010061"
56,"P0010062"
57,"P0010064"
58,"P0010065"
59,"P0010066"
60,"P0010067"
61,"P0010068"
62,"P0010069"
63,"P0010071"
