race63,voting_age,header
1,1,"P0030003"
2,1,"P0030004"
3,1,"P0030005"
4,1,"P0030006"
5,1,"P0030007"
6,1,"P0030008"
7,1,"P0030011"
8,1,"P0030012"
9,1,"P0030013"
10,1,"P0030014"
11,1,"P0030015"
12,1,"P0030016"
13,1,"P0030017"
14,1,"P0030018"
15,1,"P0030019"
16,1,"P0030020"
17,1,"P0030021"
18,1,"P0030022"
19,1,"P0030023"
20,1,"P0030024"
21,1,"P0030025"
22,1,"P0030027"
23,1,"P0030028"
24,1,"P0030029"
25,1,"P0030030"
26,1,"P0030031"
27,1,"P0030032"
28,1,"P0030033"
29,1,"P0030034"
30,1,"P0030035"
31,1,"P0030036"
32,1,"P0030037"
33,1,"P0030038"
34,1,"P0030039"
35,1,"P0030040"
36,1,"P0030041"
37,1,"P0030042"
38,1,"P0030043"
39,1,"P0030044"
40,1,"P0030045"
41,1,"P0030046"
42,1,"P0030048"
43,1,"P0030049"
44,1,"P0030050"
45,1,"P0030051"
46,1,"P0030052"
47,1,"P0030053"
48,1,"P0030054"
49,1,"P0030055"
50,1,"P0030056"
51,1,"P0030057"
52,1,"P0030058"
53,1,"P0030059"
54,1,"P0030060"
55,1,"P0030061"
56,1,"P0030062"
57,1,"P0030064"
58,1,"P0030065"
59,1,"P0030066"
60,1,"P0030067"
61,1,"P0030068"
62,1,"P0030069"
63,1,"P0030071"
