QAGE,age_p12
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,1
10,2
11,2
12,2
13,2
14,2
15,3
16,3
17,3
18,4
19,4
20,5
21,6
22,7
23,7
24,7
25,8
26,8
27,8
28,8
29,8
30,9
31,9
32,9
33,9
34,9
35,10
36,10
37,10
38,10
39,10
40,11
41,11
42,11
43,11
44,11
45,12
46,12
47,12
48,12
49,12
50,13
51,13
52,13
53,13
54,13
55,14
56,14
57,14
58,14
59,14
60,15
61,15
62,16
63,16
64,16
65,17
66,17
67,18
68,18
69,18
70,19
71,19
72,19
73,19
74,19
75,20
76,20
77,20
78,20
79,20
80,21
81,21
82,21
83,21
84,21
85,22
86,22
87,22
88,22
89,22
90,22
91,22
92,22
93,22
94,22
95,22
96,22
97,22
98,22
99,22
100,22
101,22
102,22
103,22
104,22
105,22
106,22
107,22
108,22
109,22
110,22
111,22
112,22
113,22
114,22
115,22
116,22
