CENRACE,race11
"01",1
"02",2
"03",3
"04",4
"05",5
"06",6
"07",7
"08",7
"09",7
"10",7
"11",7
"12",7
"13",7
"14",7
"15",7
"16",7
"17",7
"18",7
"19",7
"20",7
"21",7
"22",8
"23",8
"24",8
"25",8
"26",8
"27",8
"28",8
"29",8
"30",8
"31",8
"32",8
"33",8
"34",8
"35",8
"36",8
"37",8
"38",8
"39",8
"40",8
"41",8
"42",9
"43",9
"44",9
"45",9
"46",9
"47",9
"48",9
"49",9
"50",9
"51",9
"52",9
"53",9
"54",9
"55",9
"56",9
"57",10
"58",10
"59",10
"60",10
"61",10
"62",10
"63",11
